metric	bin	count	fraction
best_query_cov	[0.0, 0.05)	1683	0.36491760624457936
best_query_cov	[0.05, 0.1)	99	0.021465741543798787
best_query_cov	[0.1, 0.15)	108	0.023417172593235037
best_query_cov	[0.15, 0.2)	73	0.01582827406764961
best_query_cov	[0.2, 0.25)	94	0.020381613183000868
best_query_cov	[0.25, 0.3)	119	0.02580225498699046
best_query_cov	[0.3, 0.35)	131	0.028404163052905464
best_query_cov	[0.35, 0.4)	204	0.04423243712055507
best_query_cov	[0.4, 0.45)	288	0.062445793581960105
best_query_cov	[0.45, 0.5)	264	0.05724197745013009
best_query_cov	[0.5, 0.55)	230	0.04986990459670425
best_query_cov	[0.55, 0.6)	187	0.040546400693842154
best_query_cov	[0.6, 0.65)	218	0.047267996530789246
best_query_cov	[0.65, 0.7)	177	0.038378143972246315
best_query_cov	[0.7, 0.75)	171	0.03707718993928881
best_query_cov	[0.75, 0.8)	172	0.0372940156114484
best_query_cov	[0.8, 0.85)	153	0.0331743278404163
best_query_cov	[0.85, 0.9)	144	0.031222896790980052
best_query_cov	[0.9, 0.95)	87	0.01886383347788378
best_query_cov	[0.95, 1.0)	10	0.002168256721595837
