metric	value
total_reads	4612.0
explained_reads	1336.0
reads_explained_fraction	0.2896790980052038
mapped_to_human_reads	2960.0
mapped_to_human_fraction	0.6418039895923677
total_bases	3725078.0
explained_bases	1076419.0
bases_explained_fraction	0.28896549280310374
min_query_cov	0.5
min_identity	0.8
best_identity_quantile_0.1	0.0
best_query_cov_quantile_0.1	0.0
best_identity_quantile_0.25	0.0
best_query_cov_quantile_0.25	0.0
best_identity_quantile_0.5	0.8305083088954057
best_query_cov_quantile_0.5	0.34941510194571523
best_identity_quantile_0.75	0.9744150411596278
best_query_cov_quantile_0.75	0.5946059124451084
best_identity_quantile_0.9	1.0
best_query_cov_quantile_0.9	0.7806134320465364
