read_id	read_length	left_orientation	left_score	left_aln_primer_bases	left_matches	left_mismatches	left_identity	left_primer_coverage	left_window_start	left_window_end	right_orientation	right_score	right_aln_primer_bases	right_matches	right_mismatches	right_identity	right_primer_coverage	right_window_start	right_window_end	left_hit	right_hit	flanked	flanked_orientation
0_HG8Z82_1	165	R1	40.0	20	20	0	1.0	1.0	0	20	R1	18.5	20	15	5	0.75	1.0	22	47	True	False	False	NA
1_HG8Z82_1	244	R1	40.0	20	20	0	1.0	1.0	0	20	R1	16.0	20	15	5	0.75	1.0	53	81	True	False	False	NA
2_HG8Z82_1	231	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
3_HG8Z82_1	260	R1	35.0	20	18	2	0.9	1.0	0	19	R1_rc	19.0	20	17	3	0.85	1.0	19	49	True	True	True	R1|R1_rc
4_HG8Z82_1	325	R1	37.5	20	20	0	1.0	1.0	0	22	R1_rc	28.0	20	14	6	0.7	1.0	65	79	True	False	False	NA
5_HG8Z82_1	793	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	38.0	20	19	1	0.95	1.0	16	35	True	True	True	R1|R1_rc
6_HG8Z82_1	381	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
7_HG8Z82_1	452	R1	24.0	20	17	3	0.85	1.0	0	28	R1	16.5	20	12	8	0.6	1.0	23	42	True	False	False	NA
8_HG8Z82_1	698	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	27	47	True	True	True	R1|R1_rc
9_HG8Z82_1	106	R1	38.0	20	20	0	1.0	1.0	0	21	R1_rc	18.0	20	16	4	0.8	1.0	19	47	True	True	True	R1|R1_rc
10_HG8Z82_1	308	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	18.0	20	13	7	0.65	1.0	27	48	True	False	False	NA
11_HG8Z82_1	327	R1_rc	17.5	20	13	7	0.65	1.0	24	44	R1_rc	40.0	20	20	0	1.0	1.0	59	79	False	True	False	NA
