min_aln_len	min_identity	flanked_reads	flanked_pct
10	0.7	4200	0.9106678230702515
10	0.75	3829	0.8302254986990459
10	0.8	3358	0.7281006071118821
10	0.85	2989	0.6480919340849957
10	0.9	2718	0.5893321769297485
10	0.95	2460	0.5333911535125759
12	0.7	4200	0.9106678230702515
12	0.75	3829	0.8302254986990459
12	0.8	3358	0.7281006071118821
12	0.85	2989	0.6480919340849957
12	0.9	2718	0.5893321769297485
12	0.95	2460	0.5333911535125759
14	0.7	4200	0.9106678230702515
14	0.75	3829	0.8302254986990459
14	0.8	3358	0.7281006071118821
14	0.85	2989	0.6480919340849957
14	0.9	2718	0.5893321769297485
14	0.95	2460	0.5333911535125759
16	0.7	4200	0.9106678230702515
16	0.75	3829	0.8302254986990459
16	0.8	3358	0.7281006071118821
16	0.85	2989	0.6480919340849957
16	0.9	2718	0.5893321769297485
16	0.95	2460	0.5333911535125759
18	0.7	4200	0.9106678230702515
18	0.75	3829	0.8302254986990459
18	0.8	3358	0.7281006071118821
18	0.85	2989	0.6480919340849957
18	0.9	2718	0.5893321769297485
18	0.95	2460	0.5333911535125759
20	0.7	4200	0.9106678230702515
20	0.75	3829	0.8302254986990459
20	0.8	3358	0.7281006071118821
20	0.85	2989	0.6480919340849957
20	0.9	2718	0.5893321769297485
20	0.95	2460	0.5333911535125759
