min_aln_len	min_identity	flanked_reads	flanked_pct
10	0.7	3984	0.8687309201918884
10	0.75	3398	0.7409507195813345
10	0.8	2819	0.6146969036197122
10	0.85	2388	0.5207152202354993
10	0.9	2069	0.451155691234191
10	0.95	1796	0.3916266899258613
12	0.7	3984	0.8687309201918884
12	0.75	3398	0.7409507195813345
12	0.8	2819	0.6146969036197122
12	0.85	2388	0.5207152202354993
12	0.9	2069	0.451155691234191
12	0.95	1796	0.3916266899258613
14	0.7	3984	0.8687309201918884
14	0.75	3398	0.7409507195813345
14	0.8	2819	0.6146969036197122
14	0.85	2388	0.5207152202354993
14	0.9	2069	0.451155691234191
14	0.95	1796	0.3916266899258613
16	0.7	3984	0.8687309201918884
16	0.75	3398	0.7409507195813345
16	0.8	2819	0.6146969036197122
16	0.85	2388	0.5207152202354993
16	0.9	2069	0.451155691234191
16	0.95	1796	0.3916266899258613
18	0.7	3984	0.8687309201918884
18	0.75	3398	0.7409507195813345
18	0.8	2819	0.6146969036197122
18	0.85	2388	0.5207152202354993
18	0.9	2069	0.451155691234191
18	0.95	1796	0.3916266899258613
20	0.7	3984	0.8687309201918884
20	0.75	3398	0.7409507195813345
20	0.8	2819	0.6146969036197122
20	0.85	2388	0.5207152202354993
20	0.9	2069	0.451155691234191
20	0.95	1796	0.3916266899258613
