read_id	read_length	left_orientation	left_score	left_aln_primer_bases	left_matches	left_mismatches	left_identity	left_primer_coverage	left_window_start	left_window_end	right_orientation	right_score	right_aln_primer_bases	right_matches	right_mismatches	right_identity	right_primer_coverage	right_window_start	right_window_end	left_hit	right_hit	flanked	flanked_orientation
0_MCSS56_1	176	R1	44.0	22	22	0	1.0	1.0	4	26	R1	15.0	22	12	10	0.5454545454545454	1.0	34	53	True	False	False	NA
1_MCSS56_1	143	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	48	70	R1	19.0	22	16	6	0.7272727272727273	1.0	40	65	False	False	False	NA
2_MCSS56_1	365	R1	44.0	22	22	0	1.0	1.0	6	28	R1	29.5	22	17	5	0.7727272727272727	1.0	13	35	True	False	False	NA
3_MCSS56_1	370	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	48	70	R1_rc	39.0	22	20	2	0.9090909090909091	1.0	50	71	False	True	False	NA
4_MCSS56_1	361	R1_rc	32.0	22	22	0	1.0	1.0	48	79	R1_rc	44.0	22	22	0	1.0	1.0	52	74	True	True	True	R1_rc|R1_rc
5_MCSS56_1	355	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	48	70	R1_rc	32.0	22	16	6	0.7272727272727273	1.0	63	79	False	False	False	NA
6_MCSS56_1	359	R1	30.0	22	17	5	0.7727272727272727	1.0	10	31	R1	29.5	22	17	5	0.7727272727272727	1.0	22	44	False	False	False	NA
7_MCSS56_1	368	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	48	70	R1_rc	44.0	22	22	0	1.0	1.0	52	74	False	True	False	NA
8_MCSS56_1	369	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	49	71	R1_rc	44.0	22	22	0	1.0	1.0	52	74	False	True	False	NA
9_MCSS56_1	363	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	46	68	R1_rc	44.0	22	22	0	1.0	1.0	52	74	False	True	False	NA
10_MCSS56_1	367	R1	44.0	22	22	0	1.0	1.0	5	27	R1	29.5	22	17	5	0.7727272727272727	1.0	13	35	True	False	False	NA
11_MCSS56_1	364	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	48	70	R1_rc	44.0	22	22	0	1.0	1.0	52	74	False	True	False	NA
12_MCSS56_1	366	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	48	70	R1_rc	44.0	22	22	0	1.0	1.0	52	74	False	True	False	NA
13_MCSS56_1	366	R1	41.0	22	22	0	1.0	1.0	5	30	R1	29.5	22	17	5	0.7727272727272727	1.0	18	40	True	False	False	NA
14_MCSS56_1	282	R1	44.0	22	22	0	1.0	1.0	5	27	R1	22.5	22	18	4	0.8181818181818182	1.0	10	36	True	True	True	R1|R1
