min_aln_len	min_identity	flanked_reads	flanked_pct
10	0.7	3205	0.8972564389697648
10	0.75	2840	0.7950727883538634
10	0.8	414	0.11590145576707726
10	0.85	304	0.0851063829787234
10	0.9	227	0.0635498320268757
10	0.95	147	0.04115341545352744
12	0.7	3205	0.8972564389697648
12	0.75	2840	0.7950727883538634
12	0.8	414	0.11590145576707726
12	0.85	304	0.0851063829787234
12	0.9	227	0.0635498320268757
12	0.95	147	0.04115341545352744
14	0.7	3205	0.8972564389697648
14	0.75	2840	0.7950727883538634
14	0.8	414	0.11590145576707726
14	0.85	304	0.0851063829787234
14	0.9	227	0.0635498320268757
14	0.95	147	0.04115341545352744
16	0.7	3205	0.8972564389697648
16	0.75	2840	0.7950727883538634
16	0.8	414	0.11590145576707726
16	0.85	304	0.0851063829787234
16	0.9	227	0.0635498320268757
16	0.95	147	0.04115341545352744
18	0.7	3205	0.8972564389697648
18	0.75	2840	0.7950727883538634
18	0.8	414	0.11590145576707726
18	0.85	304	0.0851063829787234
18	0.9	227	0.0635498320268757
18	0.95	147	0.04115341545352744
20	0.7	3205	0.8972564389697648
20	0.75	2840	0.7950727883538634
20	0.8	414	0.11590145576707726
20	0.85	304	0.0851063829787234
20	0.9	227	0.0635498320268757
20	0.95	147	0.04115341545352744
