transcript_id	gene_id	gene_name	transcript_name	biotype	mapped_reads	explained_reads	mean_best_identity	mean_best_query_cov
ENST00000387347.2	ENSG00000210082.2	MT-RNR2	MT-RNR2-201	Mt_rRNA	171	109	0.9306591431933475	0.585888253339771
ENST00000389680.2	ENSG00000211459.2	MT-RNR1	MT-RNR1-201	Mt_rRNA	125	81	0.9293773582424922	0.5750382493698145
ENST00000309311.7	ENSG00000167658.16	EEF2	EEF2-201	protein_coding	76	68	0.9493349483977307	0.8406164022902508
ENST00000631211.1	ENSG00000280800.1	ENSG00000280800	ENST00000631211	lncRNA	65	43	0.9534421555180986	0.5554713964229222
ENST00000673528.1	ENSG00000288444.1	ENSG00000288444	ENST00000673528	lncRNA	54	38	0.9565224715144521	0.5717986830556627
ENST00000625598.1	ENSG00000280614.1	ENSG00000280614	ENST00000625598	lncRNA	56	36	0.9492372442610616	0.5589160925945118
ENST00000673221.1	ENSG00000288254.1	ENSG00000288254	ENST00000673221	lncRNA	60	34	0.9455718327449671	0.5257762076757897
ENST00000627981.1	ENSG00000281181.1	ENSG00000281181	ENST00000627981	lncRNA	52	31	0.9397602514941986	0.5274610813284496
ENST00000629969.1	ENSG00000281383.1	ENSG00000281383	ENST00000629969	lncRNA	24	12	0.9473543185174962	0.46988102988333114
ENST00000361624.2	ENSG00000198804.2	MT-CO1	MT-CO1-201	protein_coding	17	11	0.9472227025892662	0.594774574816549
ENST00000361381.2	ENSG00000198886.2	MT-ND4	MT-ND4-201	protein_coding	16	11	0.9700858260651865	0.5495520089404806
ENST00000361567.2	ENSG00000198786.2	MT-ND5	MT-ND5-201	protein_coding	18	10	0.9472488370056215	0.5780008693578602
ENST00000849367.1	ENSG00000310376.1	ENSG00000310376	ENST00000849367	lncRNA	28	9	0.9437623545255674	0.38688023522538045
ENST00000361453.3	ENSG00000198763.3	MT-ND2	MT-ND2-201	protein_coding	7	5	0.9692547404816771	0.6212333536806282
ENST00000361390.2	ENSG00000198888.2	MT-ND1	MT-ND1-201	protein_coding	6	5	0.9259493066549506	0.637786835777349
ENST00000362079.2	ENSG00000198938.2	MT-CO3	MT-CO3-201	protein_coding	6	5	0.9617806445952829	0.6321928325255056
ENST00000710862.1	ENSG00000251562.13	MALAT1	MALAT1-228	lncRNA	5	4	0.998266897746967	0.5928053108617152
ENST00000361899.2	ENSG00000198899.2	MT-ATP6	MT-ATP6-201	protein_coding	8	3	0.9103785755844215	0.4567376749471161
ENST00000707961.1	ENSG00000291544.1	APOB	APOB-205	protein_coding	6	3	0.9130711466642163	0.5865742434830695
ENST00000508832.3	ENSG00000251562.13	MALAT1	MALAT1-201	lncRNA	5	3	0.9549421307138196	0.6730370537073755
ENST00000617489.2	ENSG00000251562.13	MALAT1	MALAT1-210	lncRNA	5	3	0.9857163771759672	0.5472711740627096
ENST00000738610.1	ENSG00000296372.1	ENSG00000296372	ENST00000738610	lncRNA	3	3	0.9185542725096477	0.9537097592066869
ENST00000294189.11	ENSG00000162244.12	RPL29	RPL29-201	protein_coding	3	3	0.932336680736582	0.839481249839221
ENST00000645674.2	ENSG00000171863.15	RPS7	RPS7-210	protein_coding	3	3	0.9847595575778438	0.8333126751501028
ENST00000610851.2	ENSG00000251562.13	MALAT1	MALAT1-205	lncRNA	3	3	0.9933499194166706	0.7370885840027546
ENST00000710939.1	ENSG00000251562.13	MALAT1	MALAT1-254	lncRNA	3	3	0.9423067192041062	0.6878346454049354
ENST00000698129.2	ENSG00000289740.2	TALAM1	TALAM1-201	lncRNA	5	2	0.901198900074828	0.5096650918176678
ENST00000850956.1	ENSG00000251562.13	MALAT1	MALAT1-273	lncRNA	4	2	0.948616459687447	0.5210971024405107
ENST00000331825.11	ENSG00000087086.16	FTL	FTL-201	protein_coding	3	2	0.9672672095699989	0.6972097463695212
ENST00000616691.2	ENSG00000251562.13	MALAT1	MALAT1-209	lncRNA	3	2	0.9518051718804806	0.6189072439505479
ENST00000710852.1	ENSG00000251562.13	MALAT1	MALAT1-220	lncRNA	3	2	0.9562720947118724	0.606845467631665
ENST00000509063.5	ENSG00000163631.19	ALB	ALB-214	protein_coding	2	2	0.9811301349795085	0.8757206298387781
ENST00000646664.1	ENSG00000075624.17	ACTB	ACTB-217	protein_coding	2	2	0.9824980111376292	0.8552971480321273
ENST00000290341.8	ENSG00000159217.10	IGF2BP1	IGF2BP1-201	protein_coding	2	2	0.9657217144963812	0.8431935012656251
ENST00000618691.5	ENSG00000187109.15	NAP1L1	NAP1L1-226	protein_coding	2	2	0.9413151254220244	0.8372338193202897
ENST00000265872.11	ENSG00000060339.14	CCAR1	CCAR1-201	protein_coding	2	2	0.9310540833598668	0.8333932352101132
ENST00000464535.2	ENSG00000099899.16	TRMT2A	TRMT2A-210	retained_intron	2	2	0.9375992897860013	0.8078527607361963
ENST00000202773.14	ENSG00000089009.16	RPL6	RPL6-201	protein_coding	2	2	0.9870277353133872	0.7869543949428055
ENST00000704587.1	ENSG00000196367.15	TRRAP	TRRAP-210	protein_coding	2	2	0.9522406028631067	0.7845537390781865
ENST00000594907.5	ENSG00000099783.13	HNRNPM	HNRNPM-204	protein_coding	2	2	0.9858490566037736	0.7698863636363636
ENST00000338920.8	ENSG00000117523.18	PRRC2C	PRRC2C-201	protein_coding	2	2	0.9430410894185889	0.7637197061715542
ENST00000322030.13	ENSG00000119335.18	SET	SET-201	protein_coding	2	2	0.9502515608898587	0.7590103439030242
ENST00000307839.10	ENSG00000174748.22	RPL15	RPL15-201	protein_coding	2	2	0.9835867088879655	0.7408164737836257
ENST00000534358.8	ENSG00000118058.25	KMT2A	KMT2A-213	protein_coding	2	2	0.9828060522696012	0.7369913848891765
ENST00000674681.1	ENSG00000075624.17	ACTB	ACTB-219	protein_coding	2	2	0.9404355134263788	0.708191824236065
ENST00000783049.1	ENSG00000251562.13	MALAT1	MALAT1-271	lncRNA	2	2	0.9507603907025036	0.7027412943921196
ENST00000534336.4	ENSG00000251562.13	MALAT1	MALAT1-202	lncRNA	2	2	0.9794419970631425	0.7007554161915621
ENST00000411641.7	ENSG00000145192.13	AHSG	AHSG-202	protein_coding	2	2	0.969778119892126	0.6929019340631126
ENST00000371646.10	ENSG00000096384.20	HSP90AB1	HSP90AB1-203	protein_coding	2	2	0.9898247740241377	0.6910761492773029
ENST00000466994.5	ENSG00000158286.13	RNF207	RNF207-203	retained_intron	2	2	0.9468524251805985	0.6715280824923212
ENST00000329251.5	ENSG00000254772.10	EEF1G	EEF1G-201	protein_coding	2	2	0.958342360358859	0.6669034090909092
ENST00000299413.7	ENSG00000166326.7	TRIM44	TRIM44-201	protein_coding	2	2	0.9901664145234493	0.6584297520661158
ENST00000651255.1	ENSG00000214787.11	MS4A4E	MS4A4E-208	protein_coding	2	2	0.8321033210332103	0.6552215189873418
